Date,Close,10ma_IN,20ma_IN,+2sigma_IN,-2sigma_IN,%DR,DR_ma,High_IN,Low_IN,Vol_IN,Vol_MA_IN,Target,Entry,Stop_Loss,MA_Exit_Date,MA_on_Exit,20ma_OUT,+2sigma_OUT,-2sigma_OUT,Duration,Close_OUT,High_OUT,Low_OUT,Vol_OUT,GL_on_MA,GL_MA_Money,GL_MA_%,SS_IN,HLS_IN,GL_Success,Above_Vol_Ma,10_above_20,Close_above_2s,DR_above_DRma,DR_ma_up
2015-04-23,73.05,73.025,73.123,74.892,71.353,0.884,-0.177,73.26,72.26,1217900,1322905.0,76.703,73.05,69.398,2015-04-30,72.554,73.041,74.81,71.272,7 days 00:00:00.000000000,71.81,73.46,71.54,1702500,-0.496,-49.6,-0.679,3.54,1.0,0,0,0,0,1,0
2015-05-04,73.06,72.72,72.991,74.796,71.186,1.317,0.191,73.18,72.28,1442000,1334550.0,76.713,73.06,69.407,2015-05-05,72.706,72.972,74.808,71.137,1 days 00:00:00.000000000,72.08,72.95,71.86,1352900,-0.354,-35.4,-0.485,3.61,0.9,0,1,0,0,1,1
2015-05-19,68.5,68.497,70.601,75.4,65.803,0.352,-0.494,68.86,68.12,2107600,2151135.0,71.925,68.5,65.075,2015-05-20,68.231,70.39,75.225,65.556,1 days 00:00:00.000000000,68.19,68.81,68.13,1232700,-0.269,-26.9,-0.393,9.596,0.74,0,0,0,0,1,0
2015-05-22,68.33,67.92,69.88,74.49,65.27,0.737,0.049,68.75,67.37,2064000,2247820.0,71.747,68.33,64.914,2015-05-26,67.888,69.616,74.061,65.171,4 days 00:00:00.000000000,67.78,68.1,67.33,1597600,-0.442,-44.2,-0.647,9.22,1.38,0,0,0,0,1,1
2015-05-27,68.47,68.011,69.383,73.531,65.235,1.018,0.185,68.74,67.62,1987300,2281850.0,71.894,68.47,65.047,2015-05-29,68.032,68.922,72.586,65.258,2 days 00:00:00.000000000,67.29,68.42,67.25,2083600,-0.438,-43.8,-0.64,8.296,1.12,0,0,0,0,1,1
2015-06-10,67.17,67.065,67.538,69.142,65.934,2.129,-0.186,67.33,65.79,1810700,2005975.0,70.528,67.17,63.811,2015-06-29,68.998,68.004,70.595,65.414,19 days 00:00:00.000000000,68.23,69.06,68.18,2058100,1.828,182.8,2.721,3.208,1.54,1,0,0,0,1,0
2015-07-01,69.4,69.312,68.183,70.838,65.528,0.492,0.238,69.47,68.56,2174700,1898185.0,72.87,69.4,65.93,2015-07-02,69.221,68.254,70.858,65.65,1 days 00:00:00.000000000,68.48,70.15,68.12,1696000,-0.179,-17.9,-0.258,5.31,0.91,0,1,1,0,1,1
2015-07-10,69.92,68.73,68.748,70.479,67.017,2.118,0.111,70.15,68.71,1064400,1744165.0,73.416,69.92,66.424,2015-07-23,71.162,69.91,72.765,67.054,13 days 00:00:00.000000000,70.0,72.13,69.8,2303900,1.242,124.2,1.776,3.461,1.44,1,0,0,0,1,1
2015-07-29,73.4,70.584,70.014,73.455,66.572,7.169,0.282,75.0,68.0,5535900,1844370.0,77.07,73.4,69.73,2015-08-04,70.462,70.524,73.791,67.256,6 days 00:00:00.000000000,70.32,71.28,70.02,1943700,-2.938,-293.8,-4.003,6.883,7.0,0,1,1,0,1,1
2015-08-18,65.6,64.261,67.362,74.528,60.195,1.642,-0.673,65.65,64.32,2497000,3210440.0,68.88,65.6,62.32,2015-08-20,63.828,66.673,73.598,59.747,2 days 00:00:00.000000000,63.27,65.04,63.11,1794500,-1.772,-177.2,-2.701,14.332,1.33,0,0,0,0,1,0
